decade,color,hex,perc
1950s,White,#f4f4f4,41.11
1950s,Red,#b40000,22.31
1950s,Blue,#1e5aa8,12.35
1950s,Yellow,#fac80a,9.82
1950s,Trans-Clear,#eeeeee,7.32
1950s,Black,#1b2a34,5.13
1950s,Green,#00852b,0.93
1950s,Royal Blue,#1c58a7,0.36
1950s,Metallic Silver,#cecece,0.27
1950s,Light Gray,#8a928d,0.16
1960s,Red,#b40000,25.71
1960s,White,#f4f4f4,23.57
1960s,Blue,#1e5aa8,15.19
1960s,Black,#1b2a34,11.75
1960s,Yellow,#fac80a,8.32
1960s,Trans-Clear,#eeeeee,7.36
1960s,Light Gray,#8a928d,6.7
1960s,Green,#00852b,1.24
1960s,Milky White,#e9e9e9,0.06
1960s,Royal Blue,#1c58a7,0.06
1960s,Metallic Silver,#cecece,0.01
1970s,Red,#b40000,23.32
1970s,Black,#1b2a34,19.26
1970s,Yellow,#fac80a,15.84
1970s,White,#f4f4f4,15.73
1970s,Blue,#1e5aa8,13.81
1970s,Light Gray,#8a928d,7.63
1970s,Trans-Clear,#eeeeee,2.69
1970s,Green,#00852b,0.84
1970s,Milky White,#e9e9e9,0.2
1970s,Trans-Yellow,#faf15d,0.16
1980s,Black,#1b2a34,24.81
1980s,Light Gray,#8a928d,15.48
1980s,Red,#b40000,15.45
1980s,White,#f4f4f4,14.16
1980s,Yellow,#fac80a,12.56
1980s,Blue,#1e5aa8,10.45
1980s,Trans-Clear,#eeeeee,1.41
1980s,Trans-Red,#B82700,1.39
1980s,Green,#00852b,1.04
1980s,Dark Gray,#545955,0.78
1990s,Black,#1b2a34,26.1
1990s,Light Gray,#8a928d,15.72
1990s,White,#f4f4f4,13.98
1990s,Red,#b40000,12.97
1990s,Yellow,#fac80a,10.88
1990s,Blue,#1e5aa8,8.28
1990s,Green,#00852b,2.31
1990s,Dark Gray,#545955,2.28
1990s,Brown,#6e3903,1.3
1990s,Trans-Neon Green,#faf15b,0.71
2000s,Black,#1b2a34,22.27
2000s,White,#f4f4f4,11.09
2000s,Light Bluish Gray,#969696,10.54
2000s,Red,#b40000,8.45
2000s,Dark Bluish Gray,#646464,8.23
2000s,Blue,#1e5aa8,5.77
2000s,Yellow,#fac80a,5.72
2000s,Light Gray,#8a928d,5.08
2000s,Tan,#b0a06f,2.88
2000s,Green,#00852b,2.67
2010s,Black,#1b2a34,17.83
2010s,Light Bluish Gray,#969696,15.65
2010s,Dark Bluish Gray,#646464,11.32
2010s,White,#f4f4f4,10.13
2010s,Red,#b40000,5.94
2010s,Blue,#1e5aa8,4.51
2010s,Reddish Brown,#5f3109,4.22
2010s,Tan,#b0a06f,4.11
2010s,Yellow,#fac80a,3.92
2010s,Green,#00852b,1.84
