year,white,red,blue,black,light_gray,total,main
1950,6.0,0.0,0.0,0.0,0.0,6.0,White was the main color
1953,12.0,0.0,0.0,0.0,0.0,12.0,White was the main color
1954,6.0,0.0,0.0,0.0,0.0,6.0,White was the main color
1955,21.0,0.0,0.0,0.0,0.0,21.0,White was the main color
1956,9.0,0.0,0.0,0.0,0.0,9.0,White was the main color
1957,45.0,0.0,0.0,0.0,0.0,45.0,White was the main color
1958,21.0,0.0,0.0,0.0,0.0,21.0,White was the main color
1959,0.0,21.0,0.0,0.0,0.0,21.0,Red was the main color
1960,264.0,0.0,0.0,0.0,0.0,264.0,White was the main color
1961,27.0,0.0,0.0,0.0,0.0,27.0,White was the main color
1962,39.0,0.0,0.0,0.0,0.0,39.0,White was the main color
1963,0.0,39.0,0.0,0.0,0.0,39.0,Red was the main color
1964,0.0,0.0,126.0,0.0,0.0,126.0,Blue was the main color
1965,57.0,57.0,0.0,0.0,0.0,114.0,Red and white were the main colors
1966,21.0,0.0,0.0,0.0,0.0,21.0,White was the main color
1967,0.0,51.0,0.0,0.0,0.0,51.0,Red was the main color
1968,0.0,105.0,0.0,0.0,0.0,105.0,Red was the main color
1969,0.0,24.0,0.0,0.0,0.0,24.0,Red was the main color
1970,0.0,66.0,0.0,0.0,0.0,66.0,Red was the main color
1971,57.0,0.0,0.0,0.0,0.0,57.0,White was the main color
1972,0.0,0.0,0.0,57.0,0.0,57.0,Black was the main color
1973,66.0,0.0,0.0,0.0,0.0,66.0,White was the main color
1974,0.0,90.0,0.0,0.0,0.0,90.0,Red was the main color
1975,0.0,90.0,0.0,0.0,0.0,90.0,Red was the main color
1976,0.0,0.0,0.0,129.0,0.0,129.0,Black was the main color
1977,0.0,63.0,0.0,0.0,0.0,63.0,Red was the main color
1978,0.0,72.0,0.0,0.0,0.0,72.0,Red was the main color
1979,0.0,0.0,0.0,0.0,78.0,78.0,Light gray was the main color
1980,0.0,0.0,0.0,48.0,0.0,48.0,Black was the main color
1981,0.0,0.0,0.0,0.0,36.0,36.0,Light gray was the main color
1982,0.0,0.0,0.0,15.0,18.0,33.0,Light gray and black were the main colors
1983,0.0,0.0,0.0,60.0,0.0,60.0,Black was the main color
1984,0.0,0.0,27.0,27.0,0.0,54.0,Black and blue were the main colors
1985,0.0,54.0,0.0,0.0,0.0,54.0,Red was the main color
1986,0.0,0.0,0.0,66.0,0.0,66.0,Black was the main color
1987,0.0,0.0,0.0,0.0,36.0,36.0,Light gray was the main color
1988,66.0,0.0,0.0,0.0,0.0,66.0,White was the main color
1989,0.0,0.0,0.0,42.0,0.0,42.0,Black was the main color
1990,0.0,0.0,0.0,114.0,0.0,114.0,Black was the main color
1991,0.0,0.0,0.0,78.0,0.0,78.0,Black was the main color
1992,0.0,0.0,0.0,63.0,0.0,63.0,Black was the main color
1993,0.0,0.0,0.0,78.0,0.0,78.0,Black was the main color
1994,0.0,0.0,0.0,57.0,0.0,57.0,Black was the main color
1995,0.0,0.0,0.0,105.0,0.0,105.0,Black was the main color
1996,0.0,0.0,0.0,105.0,0.0,105.0,Black was the main color
1997,0.0,0.0,0.0,60.0,0.0,60.0,Black was the main color
1998,0.0,0.0,0.0,51.0,0.0,51.0,Black was the main color
1999,0.0,0.0,0.0,33.0,0.0,33.0,Black was the main color
2000,0.0,0.0,0.0,36.0,0.0,36.0,Black was the main color
2001,0.0,0.0,0.0,30.0,0.0,30.0,Black was the main color
2002,0.0,0.0,0.0,51.0,0.0,51.0,Black was the main color
2003,0.0,0.0,0.0,51.0,0.0,51.0,Black was the main color
2004,0.0,0.0,0.0,48.0,0.0,48.0,Black was the main color
2005,0.0,0.0,0.0,48.0,0.0,48.0,Black was the main color
2006,0.0,0.0,0.0,108.0,0.0,108.0,Black was the main color
2007,0.0,0.0,0.0,60.0,0.0,60.0,Black was the main color
2008,0.0,0.0,0.0,78.0,0.0,78.0,Black was the main color
2009,0.0,0.0,0.0,78.0,0.0,78.0,Black was the main color
2010,0.0,0.0,0.0,63.0,0.0,63.0,Black was the main color
2011,0.0,0.0,0.0,51.0,0.0,51.0,Black was the main color
2012,0.0,0.0,0.0,42.0,0.0,42.0,Black was the main color
2013,0.0,0.0,0.0,60.0,0.0,60.0,Black was the main color
2014,0.0,0.0,0.0,60.0,0.0,60.0,Black was the main color
2015,0.0,0.0,0.0,84.0,0.0,84.0,Black was the main color
2016,0.0,0.0,0.0,99.0,0.0,99.0,Black was the main color
